name,city,state,naics,ammonia_lb,program_level,accidents,recent_accidents,submissions,rmp_id,url,lat,lon,validated,validation_note,account
Walmart Distribution Center #6095,Opelika,AL,49312,35000,3,0,0,6,100000168515,,32.697222,-085.324167,True,,Walmart Inc.
Walmart Distribution Center #6096,Johnstown,NY,49312,39500,3,0,0,6,100000169024,,42.988045,-74.405803,True,,Walmart Inc.
Walmart Distribution Center #6090,Corinne,UT,49312,35000,3,0,0,6,100000169391,,41.561389,-112.14669,True,,Walmart Inc.
Wal-Mart Distribution Center #6056,Terrell,TX,49312,38000,3,0,0,7,100000169701,,32.73011,-096.33586,True,,Walmart Inc.
Walmart Distribution Center #6055,Monroe,GA,49312,35000,3,1,0,5,100000170414,,33.807222,-83.677778,True,,Walmart Inc.
Wal-Mart Distribution Center #6062,Shelbyville,TN,49312,40000,3,0,0,5,100000174642,,35.568611,-086.461389,True,,Walmart Inc.
Wal-Mart Distribution Center #6057,Robert,LA,49312,45000,3,0,0,5,100000175124,,30.51133,-090.32199,True,,Walmart Inc.
Wal-Mart Distribution Center #6065,Harrisonville,MO,49312,38000,3,0,0,5,100000175669,,38.614167,-094.355000,True,,Walmart Inc.
Walmart Distribution Center #6074,Auburn,IN,49312,40000,3,0,0,5,100000175776,,41.36802,-085.11070,True,,Walmart Inc.
Wal-Mart Distribution Center #6099,Macclenny,FL,49312,36000,3,0,0,5,100000177658,,30.295059,-082.082551,True,,Walmart Inc.
Walmart Distribution Center #6064,Cleburne,TX,49312,40000,3,0,0,6,100000178498,,32.404603,-097.426757,True,,Walmart Inc.
Walmart Distribution Center #6091,Henderson,NC,49312,40000,3,0,0,5,100000178675,,36.28899,-078.38632,True,,Walmart Inc.
Walmart Distribution Center #7012,Washington Ct House,OH,49312,50000,3,0,0,5,100000178693,,39.519853,-83.400590,True,,Walmart Inc.
Walmart Distribution Center #7010,New Caney,TX,49312,80000,3,0,0,5,100000181411,,30.173624,-095.282921,True,,Walmart Inc.
Walmart Distribution Center #7016,Gordonsville,VA,49312,40000,3,0,0,5,100000181554,,37.98405,-078.20003,True,,Walmart Inc.
Walmart Distribution Center #7017,Wintersville,OH,49312,35000,3,0,0,6,100000182072,,40.415693,-080.734487,True,,Walmart Inc.
Walmart Distribution Center #7013,Casa Grande,AZ,49312,40000,3,0,0,5,100000182802,,32.867226,-111.768848,True,,Walmart Inc.
Walmart Distribution Center #7019,Brundidge,AL,49312,65000,3,1,0,5,100000184294,,31.718567,-085.837056,True,,Walmart Inc.
Wal-Mart Distribution Center #7021,Grandview,WA,49312,36000,3,0,0,5,100000185202,,46.27711,-119.92366,True,,Walmart Inc.
Wal-Mart Distribution Center #7018,North Platte,NE,49312,34005,3,0,0,5,100000189048,,41.093889,-100.730278,True,,Walmart Inc.
Walmart Distribution Center #7023,Arcadia,FL,42441,80000,3,0,0,5,100000190704,,27.042500,-081.955549,True,,Walmart Inc.
Walmart Distribution Center #7015,Ochelata,OK,49312,89000,3,0,0,5,100000191213,www.walmart.com,36.576401,-95.932784,True,,Walmart Inc.
Walmart Distribution Center #7024,Sterling,IL,49312,89000,3,0,0,4,100000194023,,41.776647,-089.790339,True,,Walmart Inc.
Walmart Distribution Center #7014,Lewiston,ME,49312,70000,3,0,0,4,100000195031,,44.060556,-070.192222,True,,Walmart Inc.
Walmart Distribution Center #7048,McCarran,NV,49312,45000,3,0,0,5,100000195451,,39.53940,-119.47297,True,,Walmart Inc.
Wal-Mart Distribution Center #7030,Pottsville,PA,49312,80000,3,0,0,4,100000197716,,40.731199,-076.318133,True,,Walmart Inc.
Walmart Distribution Center #7055,Gas City,IN,49312,80000,3,0,0,4,100000198608,"14601 E. 88th Place N, Suite 302",40.476194,-085.583111,True,,Walmart Inc.
Walmart Distribution Center #7077,Cheyenne,WY,49312,64000,3,0,0,4,100000198813,,41.119995,-104.899902,True,,Walmart Inc.
"United States Cold Storage, Smyrna",Smyrna,TN,49312,29754,3,0,0,7,100000050473,www.uscold.com,36.003333,-086.530000,True,,United States Cold Storage
"United States Cold Storage, Laredo III",Laredo,TX,49312,21547,3,0,0,6,100000050552,www.uscold.com,27.551389,-099.511111,True,,United States Cold Storage
"United States Cold Storage, Tulare",Tulare,CA,49312,22649,3,0,0,6,100000050767,www.uscold.com,36.185833,-119.336667,True,,United States Cold Storage
Colorado Boxed Beef,Dallas,TX,49312,33664,3,1,0,7,100000051034,,32.811111,-96.877778,True,,United States Cold Storage
"United States Cold Storage, Arlington",Arlington,TX,49312,12459,3,1,0,8,100000051105,www.uscoldstorage.com,32.720556,-097.049167,True,,United States Cold Storage
"United States Cold Storage, Ft. Worth",FT. Worth,TX,49312,28204,3,2,0,9,100000051169,www.uscold.com,32.818889,-097.320000,True,,United States Cold Storage
"United States Cold Storage,  Bakersfield",Bakersfield,CA,49312,22957,3,1,0,8,100000051203,uscoldstorage.com,35.312778,-119.075278,True,,United States Cold Storage
"United States Cold Storage, Minooka",Minooka,IL,49312,15700,3,1,1,9,100000051301,www.uscold.com,41.450556,-088.276944,True,,United States Cold Storage
"United States Cold Storage, Lumberton",Lumberton,NC,49312,85000,3,0,0,9,100000053149,www.uscold.com,34.608333,-079.042778,True,,United States Cold Storage
"United States Cold Storage, Milford",Milford,DE,49312,44900,3,1,0,8,100000053265,www.uscold.com,38.921111,-075.451667,True,,United States Cold Storage
"United States Cold Storage, Warsaw",Warsaw,NC,49312,43694,3,0,0,9,100000053871,www.uscold.com,35.013611,-078.111944,True,,United States Cold Storage
"United States Cold Storage, Laredo II",Laredo,TX,49312,10916,3,0,0,6,100000057573,www.uscold.com,27.545556,-099.512500,True,,United States Cold Storage
"United States Cold Storage, Tracy",Tracy,CA,49312,19981,3,0,0,8,100000057895,www.uscold.com,37.744722,-121.409167,True,,United States Cold Storage
"United States Cold Storage, LaVergne",LaVergne,TN,49312,38000,3,0,0,6,100000058849,www.uscold.com,36.020000,-086.599167,True,,United States Cold Storage
"United States Cold Storage, Miller Circle",Bethlehem,PA,49312,17000,3,0,0,7,100000159446,www.uscold.com,40.681363,-075.365078,True,,United States Cold Storage
United States Cold Storage - McDonough,McDonough,GA,49312,14700,3,0,0,7,100000168418,www.uscold.com,33.390831,-084.166114,True,,United States Cold Storage
"Sodus Cold Storage Co., Inc.",Sodus,NY,49312,14693,3,0,0,7,100000174143,,43.236806,-077.061639,True,,United States Cold Storage
"United States Cold Storage, LLC - Quakertown West",Quakertown,PA,49312,16000,3,0,0,5,100000189404,www.uscold.com,40.440278,-075.425000,True,,United States Cold Storage
"United States Cold Storage, Tulare North",Tulare,CA,49312,37700,3,0,0,5,100000193328,https://www.uscold.com/,36.192778,-119.333611,True,,United States Cold Storage
"United States Cold Storage, Harrisonburg",Harrisonburg,VA,49312,90000,3,0,0,5,100000200249,,38.396216,-078.897527,True,,United States Cold Storage
"United States Cold Storage, Wilmington",Wilmington,IL,49312,18800,3,0,0,6,100000205734,www.uscold.com,41.320833,-088.135833,True,,United States Cold Storage
"U.S. Foods, Inc. Las Vegas",North Las Vegas,NV,49312,24000,3,0,0,8,100000019222,www.usfoods.com,36.216806,-115.162944,True,,US Foods Holding Corp.
"U.S. Foods, Inc. - Knoxville",Alcoa,TN,49311,14700,3,1,1,7,100000037578,www.usfoods.com,35.778662,-083.986702,True,,US Foods Holding Corp.
"U.S. Foods, Inc. - Topeka",Topeka,KS,49312,23000,3,0,0,6,100000042134,www.usfoods.com,39.088759,-095.734596,True,,US Foods Holding Corp.
"US Foodservice, Inc.",La Mirada,CA,49312,19000,3,0,0,6,100000049413,www.usfoods.com,33.883743,-118.007496,True,,US Foods Holding Corp.
"US Foods, Inc. - Fort Mill",Fort Mill,SC,49312,47000,3,0,0,6,100000065662,,34.983197,-080.950860,True,,US Foods Holding Corp.
"US Foods, Inc.",Boca Raton,FL,49312,15500,3,0,0,7,100000106119,,26.414383,-080.091419,True,,US Foods Holding Corp.
"US Foods, Inc. - Montgomery",Montgomery,AL,42241,12600,3,1,0,6,100000106431,www.usfoods.com,32.313594,-086.360613,True,,US Foods Holding Corp.
"US Foods, Inc., Columbia",Lexington,SC,42241,15000,3,0,0,6,100000106547,www.usfoods.com,33.935398,-081.292567,True,,US Foods Holding Corp.
"U.S. Foods, Inc. - Charlotte",Charlotte,NC,42241,19946,3,0,0,6,100000106583,,35.327306,-080.845194,True,,US Foods Holding Corp.
"US Foods, Inc. - Zebulon",Zebulon,NC,42241,12950,3,0,0,6,100000106707,,35.814834,-078.266052,True,,US Foods Holding Corp.
"US Foods, Inc. - Woodburn",Woodburn,OR,49312,30000,3,0,0,7,100000113218,www.usfoods.com,45.130833,-122.844722,True,,US Foods Holding Corp.
"US Foods, Inc.",Centennial,CO,49312,12000,3,0,0,7,100000154744,,39.599297,-104.850058,True,,US Foods Holding Corp.
"U.S. Foods, Inc. - Oklahoma City",Oklahoma City,OK,49312,15198,3,0,0,6,100000165037,,35.574251,-097.449296,True,,US Foods Holding Corp.
"US Foods, Inc. - Fairburn",Fairburn,GA,49311,18000,3,0,0,6,100000178728,www.usfoods.com,33.541170,-084.559060,True,,US Foods Holding Corp.
"US Foods, Inc. - Detroit",Wixom,MI,49312,25000,3,0,0,7,100000180813,www.usfoods.com,42.495817,-083.556838,True,,US Foods Holding Corp.
US Foods of Allentown,Allentown,PA,42242,12000,3,0,0,6,100000182562,,40.634389,-75.432500,True,,US Foods Holding Corp.
"US Foods, Inc. Lexington",Lexington,NC,49312,12500,3,0,0,3,100000215787,,35.779515,-80.325253,True,,US Foods Holding Corp.
"US Foods of Garland, TX",Garland,TX,42441,11326,3,0,0,4,100000201523,www.usfoods.com,32.9057031,-96.6579133,True,,US Foods Holding Corp.
"US Foods of Plymouth, MN",Plymouth,MN,42441,12000,3,0,0,4,100000204389,www.usfoods.com,45.050100,-093.403333,True,,US Foods Holding Corp.
"U.S. Foods of Salt Lake City, UT",Ogden,UT,42441,12500,3,0,0,4,100000204735,,41.207528,-111.999389,True,,US Foods Holding Corp.
JBS Tolleson Beef Processing,Tolleson,AZ,31161,50000,3,1,0,12,100000001650,,33.441389,-112.252778,True,,JBS USA
JBS - Grand Island Beef Processing Facility,Grand Island,NE,311611,158000,3,0,0,9,100000012684,,40.922583,-098.318861,True,,JBS USA
JBS - Cactus Beef Processing Facility,Cactus,TX,311611,250000,3,0,0,10,100000170851,,36.051556,-102.010528,True,,JBS USA
JBS Plainwell Distribution Center,Plainwell,MI,49312,15000,3,0,0,4,100000215304,,42.42323,-85.64910,True,,JBS USA
"JBS USA - Worthington, MN  Pork Facility",Worthington,MN,311611,141342,3,1,0,6,100000007253,,43.634389,-095.566333,True,,JBS USA
JBS - Souderton Beef Processing,Souderton,PA,31161,80000,3,1,0,10,100000039683,,40.294444,-075.341667,True,,JBS USA
JBS - Greeley Beef Processing Facility,Greeley,CO,311611,158000,3,0,0,9,100000041643,,40.443306,-104.691222,True,,JBS USA
"JBS Beardstown, IL Pork Facility",Beardstown,IL,31161,90000,3,0,0,8,100000043561,www.jbssa.com,39.993100,-090.404200,True,,JBS USA
JBS-Greeley Value Added,Greeley,CO,311611,53823,3,0,0,7,100000081868,,40.443583,-104.688472,True,,JBS USA
"JBS Green Bay, Inc.",Green Bay,WI,31161,82000,3,1,0,9,100000099939,www.jbs.com,44.481510,-087.982995,True,,JBS USA
JBS Hyrum Beef Facility,Hyrum,UT,311611,30000,3,0,0,11,100000113405,,41.643444,-111.859778,True,,JBS USA
JBS Plainwell Beef Processing Facility,Plainwell,MI,31161,50000,3,1,0,9,100000117786,,42.4209834,-085.649933,True,,JBS USA
JBS Marshalltown Pork Facility,Marshalltown,IA,311611,715862,3,1,0,7,100000127524,,42.054417,-092.897944,True,,JBS USA
Swift Pork Company,Louisville,KY,31161,80000,3,4,2,7,100000140938,,38.256000,-085.726944,True,,JBS USA
JBS USA - Omaha Beef Processing Facility,Omaha,NE,311611,21569,3,0,0,9,100000146978,,41.209528,-095.965667,True,,JBS USA
JBS Prepared Foods -  Booneville Facility,Booneville,MS,31199,33000,3,0,0,7,100000117429,jbsfoodsgroup.com,34.668333,-088.555000,True,,JBS USA
Plumrose dba JBS Prepared Foods - Council Bluffs 1,Council Bluffs,IA,42242,16000,3,0,0,7,100000143105,www.jbsfoodgroups.com,41.2417,-095.88430,True,,JBS USA
JBS Prepared Foods - Elkhart Facility,Elkhart,IN,31199,13000,3,0,0,7,100000186684,https://jbsfoodsgroup.com/,41.648705,-085.934801,True,,JBS USA
Rochelle Distrubution Center,Rochelle,IL,49312,15000,3,0,0,10,100000001829,www.tyson.com,41.907500,-089.040556,True,,"Tyson Foods, Inc."
"Tyson Fresh Meats, inc. - Finney Co.KS",Holcomb,KS,311611,52569,3,4,0,19,100000009616,,38.000000,-101.026111,True,,"Tyson Foods, Inc."
TCCS Sioux City IA.,Sioux City,IA,49312,13474,3,1,0,8,100000045453,www.tyson.com,42.440357,-096.373204,True,,"Tyson Foods, Inc."
"TYSON FOODS, INC. RUSSELLVILLE, AR. (TVDC)",RUSSELLVILLE,AR,311615,27000,3,0,0,7,100000051597,www.tyson.com,35.260443,-93.067572,True,,"Tyson Foods, Inc."
TYSON DISTRIBUTION CENTER,ROGERS,AR,311615,63454,3,0,0,8,100000052079,www.tyson.com,36.316914,-94.121943,True,,"Tyson Foods, Inc."
"The Hillshire Brands Company, Kansas City, KS",Kansas City,KS,311612,71106,3,0,0,9,100000110159,www.tyson.com,39.094722,-094.686666,True,,"Tyson Foods, Inc."
"Tyson Foods, Inc. TVDC West",Russellville,AR,49312,40000,3,0,0,7,100000159712,www.tyson.com,35.260550,-093.069140,True,,"Tyson Foods, Inc."
"TYSON FOODS, INC. RUSSELLVILLE DISTRIBUTION CENTER",RUSSELLVILLE,AR,311615,11200,3,1,0,8,100000163609,www.tyson.com,35.277695,-93.123850,True,,"Tyson Foods, Inc."
"Tyson Foods Olathe, KS Distribution",Olathe,KS,49312,98000,3,0,0,7,100000173144,www.tyson.com,38.838435,-94.823706,True,,"Tyson Foods, Inc."
Tyson Forwarding Warehouse,Tolleson,AZ,49312,17000,3,0,0,4,100000193818,,33.438333,-112.288611,True,,"Tyson Foods, Inc."
Macon Distribution Center,Macon,GA,49312,13300,3,0,0,10,100000196021,www.tysonfoods.com,32.731058,-83.727698,True,,"Tyson Foods, Inc."
Tyson warehousing Inc North East Mixing Center,Pottsville,PA,49312,13100,3,0,0,4,100000200267,www.tyson.com,40.736111,-076.304167,True,,"Tyson Foods, Inc."
"Tyson Fresh Meats,Pasco,WA",Wallula,WA,311611,28664,3,3,0,15,100000006405,www.tyson.com,46.136944,-118.913611,True,,"Tyson Foods, Inc."
"Tyson Fresh Meats, inc. Joslin, IL.",Hillsdale,IL,311611,114522,3,1,0,54,100000011168,www.tyson.com,41.554204,-090.224590,True,,"Tyson Foods, Inc."
"The Hillshire Brands Company - Newbern, TN",Newbern,TN,31161,51166,3,0,0,7,100000139469,www.hillshirebrands.com,36.139167,-089.272222,True,,"Tyson Foods, Inc."
Williams Country Sausage,Union City,TN,31161,20000,3,0,0,5,100000189565,,36.479444,-089.162500,True,,"Tyson Foods, Inc."
"Tyson Refrigerated Processed Meats, Portwall",Houston,TX,31199,11000,3,0,0,10,100000176187,www.Tyson.com,29.784306,-095.280282,True,,"Tyson Foods, Inc."
Swan Island Dairy,Portland,OR,49312,25000,3,1,0,6,100000077212,www.kroger.com,45.558222,-122.697944,True,,The Kroger Co.
Fred Meyer - Puyallup Distribution Center,Puyallup,WA,49312,38000,3,0,0,8,100000080958,www.kroger.com,47.208194,-122.295028,True,,The Kroger Co.
Kroger Memphis Distribution Center,Memphis,TN,49312,36100,3,0,0,6,100000093882,www.kroger.com,35.010000,-089.868056,True,,The Kroger Co.
Ralphs Grocery Company - Riverside,Riverside,CA,99999,63000,3,2,0,18,100000097931,www.kroger.com,33.930922,-117.303696,True,,The Kroger Co.
Harris Teeter Greensboro Frozen Foods Distribution,Greensboro,NC,49312,17300,3,0,0,8,100000100614,www.harristeeter.com,36.095278,-079.929167,True,,The Kroger Co.
Ralphs Compton Facility,Compton,CA,99999,56000,3,0,0,7,100000115378,www.Ralphs.com,33.869945,-118.239738,True,,The Kroger Co.
Fred Meyer - Clackamas Distribution Center,Clackamas,OR,49312,15000,3,4,0,8,100000124233,www.kroger.com,45.406667,-122.543333,True,,The Kroger Co.
Layton Ice Cream,Layton,UT,49312,23000,3,2,0,7,100000139165,www.kroger.com,41.064000,-111.982778,True,,The Kroger Co.
Harris Teeter Greensboro Perishable Foods Dist.,Greensboro,NC,49312,12410,3,0,0,8,100000155486,www.harristeeter.com,36.093333,-079.920556,True,,The Kroger Co.
Windigo Logistics,Tolleson,AZ,49312,12000,3,0,0,11,100000156877,,33.440556,-112.273639,True,,The Kroger Co.
Kroger Cincinnati Fresh Center,Blue Ash,OH,49312,16500,3,0,0,7,100000179353,,39.262457,-084.361707,True,,The Kroger Co.
Kroger GLRDC,Delaware,OH,49312,30000,3,2,0,5,100000181947,,40.285664,-083.025286,True,,The Kroger Co.
"Roundy's, Inc.",Oconomowoc,WI,49312,45500,3,0,0,4,100000190697,www.roundys.com,43.060779,-88.473979,True,,The Kroger Co.
Harris Teeter Indian Trail Distribution Center,Indian Trail,NC,49312,20000,3,0,0,5,100000195326,www.harristeeter.com,35.065556,-080.650833,True,,The Kroger Co.
Tamarack Farms Dairy,Newark,OH,311511,12500,3,0,0,6,100000090126,,40.038889,-082.460833,True,,The Kroger Co.
Hunter Farms Dairy,High Point,NC,31152,32100,3,1,0,8,100000091562,www.harristeeter.com,35.980278,-080.020833,True,,The Kroger Co.
Westover Dairy,Lynchburg,VA,311513,10200,3,6,0,8,100000171921,,37.397778,-079.165000,True,,The Kroger Co.
Lathrop Logistics,Lathrop,CA,49312,16000,3,0,0,6,100000026465,www.cswg.com,37.806124,-121.268458,True,,C&S Wholesale Grocers
"C&S Wholesale Grocers, Inc. - North East, MD",North East,MD,49312,15000,3,0,0,5,100000065127,www.cswg.com,39.624195,-075.951218,True,,C&S Wholesale Grocers
C&S Harrington RE LLC,Harrington,DE,49312,50000,3,0,0,6,100000066126,,38.917748,-075.578597,True,,C&S Wholesale Grocers
"C&S Wholesale Services, Inc. - Miami",Miami,FL,49312,42500,3,0,0,7,100000108484,www.cswg.com,25.883481,-80.255453,True,,C&S Wholesale Grocers
"C&S Wholesale Services, Inc. - Hammond",Hammond,LA,31151,10800,3,0,0,18,100000109679,www.cswg.com,30.500278,-090.514444,True,,C&S Wholesale Grocers
C&S Wholesale Grocers - Westfield,Westfield,MA,42242,56000,3,2,0,7,100000127882,www.cswg.com,42.175233,-072.739662,True,,C&S Wholesale Grocers
"DuBois Logistics, LLC",Dubois,PA,42242,18000,3,0,0,6,100000133866,www.cswg.com,41.121533,-78.734263,True,,C&S Wholesale Grocers
C&S Wholesale Grocers - Aberdeen,Aberdeen,MD,42241,14400,3,2,0,6,100000135132,www.cswg.com,39.489686,-076.182358,True,,C&S Wholesale Grocers
C&S Wholesale Grocers - North Hatfield,Hatfield,MA,42241,54000,3,1,0,7,100000155805,www.cswg.com,42.397703,-72.620602,True,,C&S Wholesale Grocers
GS 777 Freeport Pkwy LLC,Coppell,TX,49312,25000,3,0,0,8,100000164458,,32.951694,-097.010917,True,,C&S Wholesale Grocers
"Stockton Logistics, LLC",Stockton,CA,49312,26000,3,0,0,7,100000167945,www.cswg.com,37.905111,-121.266611,True,,C&S Wholesale Grocers
"C&S Wholesale Services, Inc. - Baldwin",Jacksonville,FL,49312,37000,3,0,0,6,100000173117,www.cswg.com,30.300186,-81.943767,True,,C&S Wholesale Grocers
Sundial Logistics,Milwaukie,OR,42241,11500,3,0,0,7,100000183482,,45.428889,-122.62711,True,,C&S Wholesale Grocers
"C&S Wholesale Grocers, Inc. - York",York,PA,49312,27000,3,0,0,5,100000196673,www.cswg.com,40.066454,-076.762786,True,,C&S Wholesale Grocers
C&S Wholesale Services Inc.,Plant City,FL,49312,21900,3,0,0,5,100000202666,,27.9913638,-82.1025000,True,,C&S Wholesale Grocers
"DFA Dairy Brands Fluid, LLC dba Pet Dairy",Spartanburg,SC,311511,16000,3,0,0,7,100000108359,,34.979860,-081.996580,True,,Dairy Farmers of America
"DFA Dairy Brands Fluid, LLC dba Alta-Dena Certifie",City of Industry,CA,311513,44000,3,1,0,8,100000143249,,34.008194,-117.918667,True,,Dairy Farmers of America
"Portales Dairy Products, LLC",Portales,NM,311514,13000,3,1,0,7,100000189173,,34.170199,-103.372039,True,,Dairy Farmers of America
"DFA Dairy Brands Fluid , LLC dba Kemps",Le Mars,IA,311511,35100,3,1,0,7,100000092703,,42.779500,-096.182800,True,,Dairy Farmers of America
DFA Dairy Brands Fluid LLC dba Country Fresh LLC,Grand Rapids,MI,31152,43775,3,0,0,8,100000107234,,42.917572,-085.671782,True,,Dairy Farmers of America
"DFA Dairy Brands Fluid, LLC dba PET Dairy",High Point,NC,31151,18500,3,3,1,8,100000109116,804-489-2754,35.923361,-80.012389,True,,Dairy Farmers of America
"DFA Dairy Brands Fluid, LLC dba Meadow Gold Dairy",Englewood,CO,311511,20000,3,4,0,7,100000124073,,39.642417,-105.003278,True,,Dairy Farmers of America
"DFA Dairy Brands Fluid, LLC dba Gandy's",Lubbock,TX,311511,14213,3,2,0,8,100000149644,,33.595833,-101.870556,True,,Dairy Farmers of America
"DFA Dairy Brands Fluid, LLC dba Swiss Premium Dair",Lebanon,PA,311511,13000,3,1,0,9,100000157581,,40.331849,-076.458826,True,,Dairy Farmers of America
"DFA Dairy Brands Fluid, LLC. dba T.G. Lee Dairy",Orlando,FL,31151,24000,3,0,0,7,100000158376,,28.546152,-081.350929,True,,Dairy Farmers of America
Dairy Farmers of America - Cabool,Cabool,MO,31151,25569,3,0,0,6,100000166786,www.dfamilk.com,37.120330,-092.107657,True,,Dairy Farmers of America
Dairy Farmers of America - Springfield,Springfield,MO,31151,29202,3,0,0,6,100000166795,www.dfamilk.com,37.212742,-093.301392,True,,Dairy Farmers of America
Kellers Creamery,Winnsboro,TX,31151,25071,3,0,0,5,100000169587,,32.957681,-095.273181,True,,Dairy Farmers of America
Costco Wholesale - Tracy Depot 172,Tracy,CA,49312,14000,3,0,0,10,100000073706,www.costco.com,37.718929,-121.528992,True,,Costco Wholesale Corporation
Costco Wholesale - Mira Loma Depot #961,Mira Loma,CA,49312,14000,3,0,0,7,100000108858,www.costco.com,34.0147848,-117.537897,True,,Costco Wholesale Corporation
Costco Wholesale - Sumner Depot #285,Sumner,WA,49312,20000,3,0,0,6,100000159124,www.costco.com,47.222283,-122.241303,True,,Costco Wholesale Corporation
Costco Wholesale - Tolleson,Tolleson,AZ,49312,18000,3,0,0,5,100000171404,www.costco.com,33.441390,-112.241783,True,,Costco Wholesale Corporation
Costco Wholesale Depot #263,Union City,GA,49312,22000,3,0,0,5,100000173714,www.costco.com,33.618361,-084.535704,True,,Costco Wholesale Corporation
Costco Wholesale - Morris,Morris,IL,49312,20000,3,0,0,5,100000176365,www.costco.com,41.396023,-088.428011,True,,Costco Wholesale Corporation
Costco Wholesale - West Palm Beach,West Palm Beach,FL,49312,25000,3,0,0,6,100000183892,www.costco.com,26.763291,-080.131345,True,,Costco Wholesale Corporation
Costco Wholesale - Dallas,Dallas,TX,49312,23000,3,0,0,6,100000183972,www.costco.com,32.69275,-096.961333,True,,Costco Wholesale Corporation
Costco Wholesale Meat Plant - Tracy,Tracy,CA,49312,40000,3,0,0,5,100000190367,www.costco.com,37.720760,-121.529828,True,,Costco Wholesale Corporation
Costco Wholesale - Salt Lake City,Salt Lake City,UT,49312,15000,3,0,0,4,100000193505,www.costco.com,40.760899,-112.028633,True,,Costco Wholesale Corporation
Costco Wholesale Frederick Combo Depot #1053,Monrovia,MD,49312,20000,3,0,0,4,100000209231,,39.374713,-077.280922,True,,Costco Wholesale Corporation
Tracy Distribution Center,Tracy,CA,49312,60000,3,0,0,13,100000062282,13801,37.714877,-121.516629,True,,Albertsons/Safeway
Albertsons Distribution Center #8220,Tolleson,AZ,49312,42979,3,0,0,8,100000074153,,33.444667,-112.273222,True,,Albertsons/Safeway
Jewel-Osco Distribution Center #37811,Melrose Park,IL,49312,35000,3,0,0,13,100000106734,www.albertsons.com,41.916861,-087.856417,True,,Albertsons/Safeway
Albertsons Portland Distribution Center,Portland,OR,49312,68490,3,2,0,7,100000119294,,45.538955,-122.484019,True,,Albertsons/Safeway
Acme Distribution Center #38311,Denver,PA,49312,40170,3,0,0,6,100000164074,https://www.acmemarkets.com,40.209361,-076.081195,True,,Albertsons/Safeway
Tom Thumb Alliance Distribution Center,Roanoke,TX,49312,20000,3,2,0,8,100000174376,www.safeway.com,32.996246,-097.248917,True,,Albertsons/Safeway
Denver Distribution Center,Denver,CO,49312,26000,3,0,0,8,100000182456,13801 Avenue V,39.779972,-104.936389,True,,Albertsons/Safeway
Auburn Distribution Center,Auburn,WA,49312,58500,3,0,0,6,100000191099,13801 Avenue V,47.278333,-122.233611,True,,Albertsons/Safeway
Shaws Distribution Center #32711,Methuen,MA,49312,13277,3,0,0,6,100000195781,www.shaws.com,42.720000,-071.211111,True,,Albertsons/Safeway
Albertsons - Riverside Commissary,Riverside,CA,311412,52000,3,0,0,3,100000199796,www.albertsons.com,33.900911,-117.284025,True,,Albertsons/Safeway
"Performance Food Group, CDC, McKinney",McKinney,TX,49312,10500,3,0,0,6,100000038283,pfgcdc.com,33.213333,-096.608611,True,,Performance Food Group
Kenneth O. Lester Co.- PFG Customized Distribution,Lebanon,TN,49312,12000,3,0,0,7,100000042321,,36.183561,-086.274911,True,,Performance Food Group
"Performance Food Group, CDC, Gainesville",Gainesville,FL,49312,11820,3,0,0,8,100000151186,,29.702667,-082.276361,True,,Performance Food Group
Performance Foodservice - Arizona,Phoenix,AZ,49312,14070,3,0,0,8,100000159678,,33.443272,-112.220079,True,,Performance Food Group
Performance Food Service Boston,Taunton,MA,49312,25000,3,0,0,6,100000173402,https://www.performancefoodservice.com/,41.943611,-071.136964,True,,Performance Food Group
"Performance Food Group, CDC, Kendallville",Kendallville,IN,49312,13200,3,1,0,7,100000191534,,41.441591,-085.210014,True,,Performance Food Group
"Performance Food Group, Rock Hill, SC",Rock Hill,SC,49312,15000,3,0,0,4,100000192837,www.pfgc.com,34.914444,-080.997778,True,,Performance Food Group
"Performance Food Group, Shafter California",Shafter,CA,49312,15000,3,0,0,3,100000193211,,35.503611,-119.207222,True,,Performance Food Group
Performance Foodservice-Thoms Proestler Company,Rock Island,IL,49312,17000,3,0,0,5,100000194265,www.performancefoodservice.com,41.442156,-090.636028,True,,Performance Food Group
Performance Foodservice Florence,Florence,SC,42441,17440,3,0,0,5,100000194461,https://www.performancefoodservice.com/Our-Locations/Florence,34.276087,-079.68966,True,,Performance Food Group
"Smithfield Packaged Meats Corp. - Sioux City, IA",Sioux City,IA,49312,33000,3,0,0,11,100000140732,,42.484173,-096.382429,True,,United Global Foods
"Smithfield Packaged Meats Corp. - Peru, IN",Peru,IN,49312,26000,3,1,0,7,100000189477,,40.7192822,-086.024958,True,,United Global Foods
"Smithfield Distribution, LLC",Crete,NE,49312,31000,3,0,0,6,100000199215,,40.58295,-096.96363,True,,United Global Foods
"Smithfield Packaged Meats Corp. - Sioux Falls, SD",Sioux Falls,SD,31161,300000,3,2,1,14,100000004336,,43.563889,-096.718889,True,,United Global Foods
"Smithfield Packaged Meats Corp. - Cudahy, WI",Cudahy,WI,311612,83000,3,3,0,10,100000013317,,42.955278,-087.863056,True,,United Global Foods
"Smithfield Fresh Meats Corp. - Smithfield, VA",Smithfield,VA,31161,110000,3,2,0,10,100000038112,,36.993608,-076.628908,True,,United Global Foods
